period,start_date,end_date,repo_count,total_stars,total_forks,total_watchers
2018,2018-01-01,2018-12-31,4521,27849,7188,27849
2019,2019-01-01,2019-12-31,5396,21001,5636,21001
2020,2020-01-01,2020-12-30,6993,56229,8867,56229
2020,2020-12-31,2021-12-30,6777,27173,3786,27173
2021,2021-12-31,2022-12-30,8012,20823,3025,20823
2022,2022-12-31,2023-12-30,12626,36212,5120,36212
2023,2023-12-31,2024-12-29,13897,37161,6052,37161
2024,2024-12-30,2025-12-29,17102,8060,1037,8060
2025,2025-12-30,2025-12-31,0,0,0,0
